,ingroupNorm,bothShown,response,ingroupAgree,outgroupDisagree
0,0,0,7,1,1
1,1,1,7,1,1
3,1,0,2,1,1
4,1,1,2,0,1
5,1,0,7,0,1
6,0,0,1,1,0
7,0,0,6,1,1
8,1,1,5,1,0
9,1,1,1,0,1
10,1,1,5,1,1
11,1,0,3,1,1
12,0,0,6,1,1
13,1,0,6,1,1
14,0,0,5,1,1
15,1,1,6,1,1
16,0,0,2,1,1
17,1,1,3,1,1
18,0,1,3,1,1
19,1,0,6,1,1
20,1,0,7,1,1
21,1,1,7,1,1
22,0,0,3,1,0
23,0,1,3,1,1
25,1,1,6,1,1
26,1,0,3,1,1
27,0,1,6,1,1
28,1,0,6,1,1
29,1,1,6,1,1
31,0,0,1,0,0
32,0,0,1,0,1
33,0,0,7,1,1
36,0,1,2,1,1
37,1,1,1,0,1
38,0,1,5,0,0
39,0,0,7,1,1
40,0,0,7,1,1
41,1,1,2,1,1
46,1,0,7,0,1
48,1,1,5,1,1
49,0,0,6,1,1
50,0,0,7,1,1
51,0,0,6,0,1
52,1,1,7,1,1
53,0,0,1,1,1
54,0,1,7,0,0
56,0,0,5,1,1
57,0,1,5,1,1
58,1,1,1,1,1
59,1,1,1,0,0
60,0,1,3,0,1
61,1,0,2,1,1
62,0,0,7,1,1
63,1,0,6,1,1
64,0,1,5,1,1
65,0,1,1,0,0
66,1,0,6,1,1
67,0,0,1,1,0
68,0,1,7,1,1
70,0,0,3,1,0
71,1,1,7,1,1
73,0,1,5,1,1
75,1,1,7,1,1
76,0,0,7,1,1
77,0,1,7,1,1
78,0,0,2,0,1
79,1,1,7,1,1
80,1,0,2,1,1
81,0,1,7,1,1
82,0,0,1,0,1
83,0,0,2,1,1
84,0,0,5,1,1
85,0,1,7,1,1
86,0,1,6,1,1
87,0,0,7,1,1
88,1,0,1,0,1
89,1,1,7,0,1
90,0,0,5,1,1
91,1,0,6,1,1
92,0,1,5,1,1
93,1,1,3,1,1
94,1,0,1,1,0
96,1,0,1,1,1
98,1,1,2,1,1
